comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,CNIH4,0.35042364940935716,0.20963138630901285,-0.03991875998487596,-0.1668004630952212,0.04072622214390292,0.18151848524424719,1.0726257431501138,0.14079226310034432,2,3,13034,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,COTL1,0.22134254335980758,0.23892111144885264,-0.10193278490963062,-0.08593039342589497,0.10730904134925795,0.08973047326021288,0.9222617106767144,0.017578568089045066,3,3,15257,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,CTBP1,0.22637484319094514,0.2188543051512923,-0.11169583589676663,-0.11839905828285222,0.11817270091864367,0.12569323895829654,0.3251321744329537,0.00752053803965283,4,4,14314,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,EPB41L2,0.19034652560537585,0.20546758333822562,-0.0982257030528922,-0.08442450666807873,0.10321175527193928,0.08809069753908953,0.921370189789264,0.015121057732849774,4,4,15499,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,ETHE1,0.19355594262582645,0.2145116802446525,-0.1058681902230156,-0.0868376614912875,0.11167533717081289,0.0907195995519868,0.8873273414321958,0.020955737618826048,4,4,15280,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,GNG5,0.18480915738426182,0.20845295641240044,-0.10295324999386693,-0.08139175663213179,0.10843958830715454,0.0847957892790159,0.9151378093015934,0.023643799028138623,4,4,15709,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,IFT25,0.19591863284250732,0.20841096150788074,-0.11199304459703385,-0.1007614331413198,0.11850508096443203,0.1060127522990586,0.9201864112533412,0.01249232866537342,4,4,13114,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,MGAT4B,0.18959759371860913,0.2045769421066229,-0.10538376445455021,-0.09181096926528391,0.11113694340775475,0.09615759501974104,0.93442647037465,0.014979348388013763,4,4,14558,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,MOSMO,0.27328108114930205,0.28991392887074297,-0.07909109902800421,-0.06360377183441836,0.08230291432291828,0.06567006660147735,0.9671969626980566,0.016632847721440913,2,2,17394,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,MPG,0.18820724476189268,0.20121116712975126,-0.0969369640119732,-0.08506422939707214,0.10179091895278664,0.08878699658492809,0.9144039270234611,0.013003922367858578,4,4,15114,1,1,source_response_persistence_baseline
